"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
0398,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x14","Conundrum",,"NULL"
0399,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x15","Power Play",,"NULL"
0400,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x16","Ethics",,"NULL"
0401,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x17","The Outcast",,"NULL"
0402,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x18","Cause and Effect",,"NULL"
0403,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x19","The First Duty",,"NULL"
0404,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x20","Cost of Living",,"NULL"
0405,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x21","The Perfect Mate",,"NULL"
0406,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x22","Imaginary Friend",,"NULL"
0407,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x23","I, Borg",,"NULL"
0408,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x24","The Next Phase",,"NULL"
0409,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x25","The Inner Light",,"NULL"
0410,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x26","Time's Arrow",,"NULL"
0411,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x26","Time's Arrow (1)",,"NULL"
0412,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x01","Time's Arrow (2)",,"NULL"
0413,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","5x26","Time's Arrow, Part 1",,"NULL"
0414,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x01","Time's Arrow, Part 2",,"NULL"
0415,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x02","Realm of Fear",,"NULL"
0416,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x03","Man of the People",,"NULL"
0417,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x04","Relics",,"NULL"
0418,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x05","Schisms",,"NULL"
0419,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x06","True Q",,"NULL"
